owner,count
0x2f70cfeb4d49fa9b5daf24c85e825e80e3456b47,3
0x302d676d2207bd6680e2ad0a742a309f5fa20185,3
0x3df772d9c8849b7d52909d6b4f1a9bcbb8240222,3
0x47144372eb383466d18fc91db9cd0396aa6c87a4,3
0x4b2f8046fa3326b2517d437a5c61520d0747955b,3
0x4cc22980b43c6711225c77e76bd21a1f99c9df7b,3
0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9,3
0x4dd4b9d788b1e574458c018fa6236f186a626ad7,3
0x54acecd16a754568b2a11713d8937e0e985caad2,3
0x55ba9c90c37e3206570ac9dc872c0f053d155f77,3
0x56573bbde85251bb303d08485c690298a33bfb14,3
0x56e1b883a7ee8c948d014af899e2710b8b89de6d,3
0x575331f3daad217b2b2e8aed380dbc0d9a76c6a1,3
0x5786291d128b580f847b132ea9494e55fb4c18f3,3
0x5828e81ab978ae41ec27385b6f8c77acd10b96e2,3
0x5b9413f33784db3eb998299e6989fcd159173a03,3
0x5d47e5d242a8f66a6286b0a2353868875f5d6068,3
0x5ef31854bd27c308305e87cbb09af526203c2ba4,3
0x6180099fe2ca0d1d22bca26809fa4deaadb6444a,3
0x648e71b3586a5d594157456c9de3df614a524086,3
0x6746fde6276a87c00a473518c0d1af87dee66b3e,3
0x6b9ac857978eac2455765d8c4207a53db90421a2,3
0x6bd17643acfab4932687e8949c7d034a5d91b1a1,3
0x6ffbca4259dfcec4b72bed5008704468208e7635,3
0x780423e2216405500be0670affacc5c80efd3c23,3
0x783de2b232b6211c641ea88510279215e737803a,3
0x786f9c2794032fc413cc9dd20f7f041adff12e0c,3
0x79d59e047b163c40d6a842cce6d9f0bfcb91c69f,3
0x877f3bcb3c0ad49b64c404970d5671e00231b59c,3
0x8a32af4affd816978c2fdfa7c08c27681d05d4fe,3
0x8c38856c80087aa17b46f1ac62fd7ea04c62734d,3
0x911765e6cbf6f1dfc7c1bacc01be7e32612aa541,3
0x911ab8b7d4a95a81653cc42122b8f3972dcff898,3
0x928aa95beea9412fb6430eb8d404afcb7352068f,3
0x948a4dbdaccb4d10b9395b4c863d34e335e3eb21,3
0x9a6300b55e07129592390954bbea6d785d060e6c,3
0x9c9a11a94f95cd31c06e0252ed0ce908b90fbc0c,3
0x9ef5dd44d2bbd143aec251b1ca4fb5a8a3893bf5,3
0xa227b5ef06410639d4985d6be693352b71b8a165,3
0xa380339b85f7f4ba5d5640bcf2c75fdcb4d4cdfa,3
0xa43b30fb0333e5d68cbe36e20c6accab28f82cc3,3
0xa48e90c18602f31ec74e73dc3c29ce56317ea5e8,3
0xa5336271854c8984673a0406c799556def953890,3
0xabc837feeeb448d36173d92d9563f324bc3a273f,3
0xacfea5dd8fb15d893fef331391c8df21df719603,3
0xad8d22b89e55490e72bb5b06971f47c4b329e8b2,3
0xae1d7ed78c65cc05a11d832de7f799ff77c8121f,3
0xaecf6412cf1a51986185f5718fadd640bae5c7cb,3
0xb39cff8b69b7608e64d0c82340194bb3c573013e,3
0xb4e6bd2ef5b30c171248382389687c442d29a133,3
0xb4fdb8e605397fd2bb6d2dc7c1a6081e413babf0,3
0xb8ac952dcdfd1e77222213ae508ad8864dc391b4,3
0xb93efd0e79b769d2b3df7aa64d89f983d2fd02fc,3
0xba1bd49760e543aede0b0bd325f92026d6345b1a,3
0xbee1f7e369b3271088ed58bf225df13cd96d32d5,3
0xc1490ace8c1805f98b309971dad72503167a6fa9,3
0xc385e224391c6776f4bcba5c65aca3ae9cb540db,3
0xc7cb454cefd11a346c5307d4865b5bb687aaad46,3
0xc839e3322b456e0373b8e785c75b0102edd6b06a,3
0xc9cb494a72a7943ad81dbb9974f14938a33de34c,3
0xcde91c40c0348442344204ab1fdd59d0be49fee7,3
0xd92397361c7808315a89c47eda988ffba67d4805,3
0xda3863583c9fcd8a5d3506d91aaf33157124d1d1,3
0xda6787e118d0eea60279ee36c4eec1ae3eeacbe6,3
0xde4b72239f6d6e2342cbc48ca8fb04e05a25f1c7,3
0xdf3534ee35a8fca07b31c26db5814e02b62c109c,3
0xdfba4c55a2d5bcfe1a00f856baa47b04cb2718f0,3
0xe1ab34d37faa78896120bee269665d8ee243fc58,3
0xe26067c76fdbe877f48b0a8400cf5db8b47af0fe,3
0xecd02810db92ff027ea1b0850d46bda963676d74,3
0xedcb4ab3d823f9116480ed865c0e050767a5835b,3
0xede71d58eb92c4eb065d2709a08970f789e7084b,3
0xef0b56692f78a44cf4034b07f80204757c31bcc9,3
0xf017e8bec2ff48244b3b568f0592f5c84aa6fc33,3
0xf060882d73919417cbe691d7089a2d6271d229d8,3
0xf3a45ee798fc560ce080d143d12312185f84aa72,3
0xf3a5405c76528fd9ce25e3a452874429f8cd8435,3
0xf3c7e9850d19f9559e1716d1082bcfd143b307d4,3
0xfea0ae8dbd492ec23dbf06047273b76b43084c92,3
0xffb4b8edaf6846207cb30ee6ab8b09a12a7946d1,3
0x000000faff66c73e5477d0e46d6ba248e132a216,2
0x001418a3db539dcf91b6b427ca5b26977ad10489,2
0x003287989a298f0763b7e31bdb2c44c780dce05b,2
0x00341638704e87358c34b2886a5fc2f76ee4f8a3,2
0x00409fc839a2ec2e6d12305423d37cd011279c09,2
0x00517b07db18a4210276398fe3fab14dc60f495c,2
0x006c297d29ccfa4b67f72fbfb5389f98a140309c,2
0x009ef10a08d50ea87dfadf5af93fc74892ae86cf,2
0x00e195c133d18eebfe83a1891e4d0316f2696cb7,2
0x00e957c5fb90b6505c507e05af6b8457949ee323,2
0x01c6e390ff75bc5fe79ce2b2ca9d06f280c5c3c4,2
0x01f0729390c53a01a6c1afc36c3804cc1c3eaead,2
0x0212d7fe07affc2820be7be056c8756c9769604d,2
0x022dec3a4e53167d55379ff00fbc8640892df447,2
0x024dcd278b57232c8c166045b7e97b8e942370b5,2
0x02cc4dfbd06c447fec2578e88cb2a8353bfda0c9,2
0x02cc6f33e5886cf023bdc42eb0d4529f0b581c8f,2
0x02d926b835ca2545821c70133eff7070094608e5,2
0x02e97210b263713befee53057159639d4f1e4a05,2
0x0311663d459db2314b6f8f2859e535ff6da56eed,2
0x031e537e4371d07b936ea27c3df10b352b0f7719,2
0x0325b1013c7a8a8e1ff539c7c0a5d53d3a61a455,2
0x0332ee53e7299f913229a2585dfb7867b2518a0f,2
0x034fcf0b8c7ccf3a70294a1883a5d147c06362ee,2
0x0374e2252558c168831afddfc61466f2c896536c,2
0x03e97c9acae15e5a06e4cc2974431eb9e3390781,2
0x041d82efad85cb1a85f548bb7ffcd646c5588552,2
0x045de2046d4ffd36505d65993e0c12fa34022d0c,2
0x0464a9f2413a104717634270c49c4041e988078e,2
0x04bf91a1e80a603d551ca5c8a475679b76183f87,2
0x04d6e709a9eb0e7c04d515fa73f37f2ef873e502,2
0x050501c8242f39aa9e95ebe011ceffc98032e1b9,2
