LAST_ACTIVITY_BLOCK,LAST_ACTIVITY_BLOCK_TIMESTAMP,USER_ADDRESS,CONTRACT_ADDRESS,CURRENT_BAL_UNADJ,CURRENT_BAL,USD_VALUE_LAST_ACTIVITY,USD_VALUE_NOW,SYMBOL,TOKEN_NAME,DECIMALS,HAS_DECIMAL,HAS_PRICE,LAST_RECORDED_PRICE,ROWNUMBER,BALANCE
17950912,2023-08-19 19:30:11.000,0xe893b92fe428916931cea98fd9fa734e4688dd0a,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
18022405,2023-08-29 19:38:23.000,0xc4b5bdc3b6d27a2e1c618498d3cbfd97358b2a3f,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
18015420,2023-08-28 20:08:11.000,0x5ab0e4e355b08e692933c1f6f85fd0be56ad18a6,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
17948196,2023-08-19 10:22:23.000,0x4f1f761bc89abf7b003568f2a5ba97667103ff5f,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
17963483,2023-08-21 13:44:59.000,0x1ccd2496090c53687572edc2b62c3b58b6799bbd,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
17945150,2023-08-19 00:08:23.000,0x1bfa67e694e8d450c7512eb54d1acf661d460a2b,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
17959733,2023-08-21 01:09:11.000,0x514c9c0f1bc120f57183bfe4ae092ff0be13a31f,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
17945520,2023-08-19 01:22:59.000,0x51360d99966724b2603182cc367ab9621d96eed2,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
17959003,2023-08-20 22:41:59.000,0xe9bec796bb6b91d532a98f2fbbc7905dd6ca9f6c,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
18024805,2023-08-30 03:41:23.000,0x2a6d66c327d20fe6a0788b3cc0ba4da09e0dc54d,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
18025644,2023-08-30 06:30:47.000,0x428ca525839b7c015ffb985700c8a8b37ed79756,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
18015053,2023-08-28 18:54:47.000,0x05897e0d012d3d4335b9a6bd2981927ef70c27a5,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
17973508,2023-08-22 23:23:11.000,0xc8de9ae0ec64f60e59244c5fc51f9b4a24d5fbdb,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
17975318,2023-08-23 05:27:47.000,0xbb7b86161d49a62dc0fb9f5124500c7384dd1339,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
17951391,2023-08-19 21:06:59.000,0x806f0799cb7d8a822cf6792dfde12bcc4f5d6ea8,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
18015280,2023-08-28 19:40:11.000,0x7e5507281f62c0f8d666beaea212751cd88994b8,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
18015042,2023-08-28 18:52:35.000,0xba0995c52474dfb7c48181f71454a63a2847982c,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
18017250,2023-08-29 02:16:35.000,0x9891529a510389712e215566abf9f10fa0786014,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
18018616,2023-08-29 06:52:59.000,0x6fcf21345566887478cda171de63ab0066d2d33f,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
17949970,2023-08-19 16:20:35.000,0xa46128894419058f48089e5c9eb7cf6a8a932a80,0xccccccccc9507ce17987409cc8c598733ba9b670,4,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,4
17945186,2023-08-19 00:15:35.000,0x01ac84081621568230be12b4276b92d07d584433,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17945455,2023-08-19 01:09:59.000,0x03299cc26ba3c3ee6696b718695e0b46fbac5daf,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
18061159,2023-09-04 05:54:59.000,0x877f3bcb3c0ad49b64c404970d5671e00231b59c,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17944040,2023-08-18 20:25:23.000,0x8a32af4affd816978c2fdfa7c08c27681d05d4fe,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
18015187,2023-08-28 19:21:35.000,0x911765e6cbf6f1dfc7c1bacc01be7e32612aa541,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17953463,2023-08-20 04:05:11.000,0xb4fdb8e605397fd2bb6d2dc7c1a6081e413babf0,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17953208,2023-08-20 03:13:47.000,0x249d406f1f7cd663ede9264187e5a2d6ee05c8ea,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
18015139,2023-08-28 19:11:59.000,0xf3c7e9850d19f9559e1716d1082bcfd143b307d4,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17943667,2023-08-18 19:10:11.000,0xf017e8bec2ff48244b3b568f0592f5c84aa6fc33,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17950923,2023-08-19 19:32:23.000,0x55ba9c90c37e3206570ac9dc872c0f053d155f77,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17945069,2023-08-18 23:52:11.000,0x648e71b3586a5d594157456c9de3df614a524086,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17982357,2023-08-24 05:04:11.000,0xffb4b8edaf6846207cb30ee6ab8b09a12a7946d1,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17959803,2023-08-21 01:23:11.000,0x1ecfe83ab784373782e703e41562e3b9052734f3,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
18040263,2023-09-01 07:38:59.000,0x786f9c2794032fc413cc9dd20f7f041adff12e0c,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17944161,2023-08-18 20:49:35.000,0x5d47e5d242a8f66a6286b0a2353868875f5d6068,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17948788,2023-08-19 12:21:47.000,0x6ffbca4259dfcec4b72bed5008704468208e7635,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17947018,2023-08-19 06:23:59.000,0x5ef31854bd27c308305e87cbb09af526203c2ba4,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17944728,2023-08-18 22:43:59.000,0x54acecd16a754568b2a11713d8937e0e985caad2,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17946759,2023-08-19 05:31:59.000,0x5828e81ab978ae41ec27385b6f8c77acd10b96e2,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17952464,2023-08-20 00:43:59.000,0x56573bbde85251bb303d08485c690298a33bfb14,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17945318,2023-08-19 00:42:23.000,0xf060882d73919417cbe691d7089a2d6271d229d8,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17953193,2023-08-20 03:10:47.000,0xedcb4ab3d823f9116480ed865c0e050767a5835b,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17947467,2023-08-19 07:55:11.000,0xdf3534ee35a8fca07b31c26db5814e02b62c109c,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17945220,2023-08-19 00:22:23.000,0xbee1f7e369b3271088ed58bf225df13cd96d32d5,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17992199,2023-08-25 14:07:23.000,0xa43b30fb0333e5d68cbe36e20c6accab28f82cc3,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17945674,2023-08-19 01:53:59.000,0xa227b5ef06410639d4985d6be693352b71b8a165,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17953708,2023-08-20 04:54:11.000,0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
18068251,2023-09-05 05:40:23.000,0x3df772d9c8849b7d52909d6b4f1a9bcbb8240222,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
18018944,2023-08-29 07:58:59.000,0x19cabab0e12d65a7703f97b207e7a10a9f30810e,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17949280,2023-08-19 14:01:35.000,0x17df4e3fcf2feec8103133a18946f82792c20c90,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17943652,2023-08-18 19:07:11.000,0xe26067c76fdbe877f48b0a8400cf5db8b47af0fe,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
18061319,2023-09-04 06:27:23.000,0xda6787e118d0eea60279ee36c4eec1ae3eeacbe6,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
18005745,2023-08-27 11:36:47.000,0xae1d7ed78c65cc05a11d832de7f799ff77c8121f,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17956248,2023-08-20 13:26:59.000,0xad8d22b89e55490e72bb5b06971f47c4b329e8b2,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17947034,2023-08-19 06:27:11.000,0x911ab8b7d4a95a81653cc42122b8f3972dcff898,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17945038,2023-08-18 23:45:59.000,0x26fde1f19c3e646b47d3fbffd3eb00e9053b8c0d,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17955127,2023-08-20 09:41:11.000,0x26a9bd296785e7b2a5a2c7d2d4c9dbf99e27f340,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17956040,2023-08-20 12:45:23.000,0x16b0d1368146939e5c8f8e574f09f175baec5996,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
18015230,2023-08-28 19:30:11.000,0xc7cb454cefd11a346c5307d4865b5bb687aaad46,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17949035,2023-08-19 13:11:59.000,0x9c9a11a94f95cd31c06e0252ed0ce908b90fbc0c,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
17949994,2023-08-19 16:25:23.000,0xda3863583c9fcd8a5d3506d91aaf33157124d1d1,0xccccccccc9507ce17987409cc8c598733ba9b670,3,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,3
